@10824837-e55f-4b91-aaeb-2ddec9e2f1bb_c9d44752_2_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all
@5ff90608-126a-44d2-bee2-977fceb8bcd0_c9d44752_2_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all; No ITS1 sequence; No ITS2 sequence
@2898bd06-0644-426b-8140-142fdb9cf211_c9d44752_2_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all
@0f5e5ba9-8b34-4829-a20a-fc1e8237784d_c9d44752_2_trimmed_filtered	End of SSU sequence not found; Start of 5.8S sequence not found
@31ee9b51-7c7b-4923-b726-0358317ccc25_c9d44752_2_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all; ITS region is suspiciously long (> 1500 bp)
@48d8a83a-fe56-43b9-86a6-c530c133296a_c9d44752_2_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all; No ITS1 sequence; No ITS2 sequence
@65fb3006-adbe-4144-bebf-b08075322a07_c9d44752_2_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all; No ITS1 sequence; No ITS2 sequence
@eace763e-be58-4f77-bcd8-7c09dfd3925b_c9d44752_2_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all
@ca325308-ec97-4b49-b404-c08bc3622332_c9d44752_2_trimmed_filtered	End of SSU sequence not found; Start of 5.8S sequence not found
@b7b5169f-ac00-48bd-8ed3-c06e52bfe25e_c9d44752_2_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all
@b65536a8-670a-4bb3-8dae-dd12216369f9_c9d44752_2_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all; No ITS1 sequence; No ITS2 sequence
@99c51779-745d-4b1b-96d0-ed0cb5c70796_c9d44752_2_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all
@b8d94e4a-94e0-4b13-8264-257fb2c8ae75_c9d44752_2_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all; ITS region is suspiciously long (> 1500 bp)
@04b81daa-2786-40d6-b91e-3168ca88a736_c9d44752_2_trimmed_filtered	End of SSU sequence not found; Start of 5.8S sequence not found
@f0ccdc05-4801-47ea-b3df-33d2437bea3c_c9d44752_2_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all
@f6444ef8-7755-4995-9ab2-4a674cda9d83_c9d44752_2_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all
@464f0c8f-7f38-4bec-b732-e40e3d455cd2_c9d44752_2_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all
@34a9d747-4294-439f-bcf5-557d239ac57f_c9d44752_2_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all; No ITS1 sequence; No ITS2 sequence
@3b288b40-bd27-4d06-84cc-60afffc3c6c0_c9d44752_2_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all; No ITS1 sequence; No ITS2 sequence
